cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
1C9B_3,5wh1,1,A1,0,5wh1,3,C1,2
1H6G_1,1h6g,1,A1,0,1l7c,1,A1,1
1KZ7_1,1rj2,2,D1,0,1rj2,3,G1,1
1M1H_1,1npp,2,B1,0,1npp,1,A1,1
1M1H_1,1npp,2,B1,0,1npp,4,D1,2
1M1H_1,1npp,2,B1,0,1npr,1,A1,3
1M1H_1,1npp,1,A1,1,1npp,4,D1,2
1M1H_1,1npp,1,A1,1,1npr,1,A1,3
1M1H_1,1npp,4,D1,2,1npr,1,A1,3
1WCW_1,3d8t,1,A1,0,3d8r,1,A1,1
1WCW_1,3d8t,1,A1,0,1wcw,1,A1,2
1WCW_1,3d8r,1,A1,1,1wcw,1,A1,2
2AE0_1,2ae0,1,X1,1,2pic,1,A1,2
2BBW_1,2ar7,1,A1,0,3ndp,1,A1,2
2C0G_1,2c1y,1,A1,0,2c0g,1,A1,1
2C0G_1,2c1y,1,A1,0,2c0g,2,B1,2
2C0G_1,2c0g,1,A1,1,2c0g,2,B1,2
2NRT_1,2nrt,1,A1,0,2nrz,2,B1,1
2NRT_1,2nrt,1,A1,0,2nrw,1,A1,2
2NRT_1,2nrt,1,A1,0,2nrv,2,B1,3
2NRT_1,2nrz,2,B1,1,2nrw,1,A1,2
2NRT_1,2nrz,2,B1,1,2nrv,2,B1,3
2NRT_1,2nrw,1,A1,2,2nrv,2,B1,3
2QDF_1,2qdf,1,A1,0,3efc,1,A1,1
2R62_1,2r62,1,A1,0,2r62,2,B1,1
2WNK_1,2x28,1,A1,0,2wnk,1,A1,1
2XI9_1,2xid,2,B1,0,2xid,1,A1,1
2Z43_1,2dfl,1,A1,0,2z43,2,B1,1
3AS5_1,3as5,1,A1,0,3asd,1,A1,1
3B08_1,3axc,1,A1,1,2w9n,1,A1,7
3NB2_1,3nb2,2,B1,0,3naw,2,B1,2
3OIY_1,3oiy,1,A1,0,3oiy,2,B1,1
3OIY_1,3oiy,1,A1,0,3p4y,1,A1,2
3OIY_1,3oiy,2,B1,1,3p4y,1,A1,2
3OYY_1,3oyy,2,B1,1,3oyy,1,A1,2
3QOU_1,3qdn,1,A1,0,3qdn,2,B1,1
3TEE_1,3vki,1,A1,0,3tee,1,A1,1
3USW_1,3usy,1,A1,0,3usw,1,A1,1
3W4T_1,3w4t,1,A1,0,6fhz,1,A1,1
3WBI_1,3wbk,2,B1,1,3wbi,1,A1,2
4AKL_1,4akl,1,A1,0,3u3i,1,A1,1
4DJC_1,4e53,1,A1,14,4e50,1,A1,9
4GC0_1,4qiq,1,A1,0,6n3i,1,A1,1
4KBF_1,4kbg,2,B1,0,4kbf,2,B1,1
4KDD_1,4kb4,1,A1,0,1wqg,1,A1,1
4LAY_1,1q1c,1,A1,0,4lav,1,A1,1
