cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
1CKE_1,1cke,1,A1,1,1kdo,2,B1,0
1CKE_1,1cke,1,A1,1,1kdr,2,B1,0
1CKE_1,1cke,1,A1,1,1kdt,2,B1,0
1DQV_1,1dqv,1,A1,1,3hn8,1,A1,0
1GUD_1,1gub,1,A1,0,1rpj,1,A1,1
1IWL_1,1iwl,1,A1,2,7z6w,1,A1,0
1NL5_1,1n3x,1,A1,0,1nl5,1,A1,1
1NL5_1,1n3x,1,A1,0,1n3w,1,A1,1
1RYO_1,1bp5,1,A1,1,1ryo,1,A1,0
1RYO_1,1bp5,1,A1,1,1fqe,1,A1,0
1RYO_1,1bp5,1,A1,1,1a8e,1,A1,0
1SW5_1,1sw5,1,A1,0,1sw2,1,A1,1
1USH_1,1oid,2,B1,1,1ho5,1,A1,0
1USH_1,1oid,2,B1,1,1hpu,1,A1,0
1WCW_1,3d8t,1,A1,0,3d8n,1,A1,2
1WCW_1,3d8r,1,A1,1,3d8n,1,A1,2
1YI9_1,1yi9,1,A1,0,6ala,1,A1,1
1Z15_1,1z15,1,A1,0,1z17,1,A1,1
1Z15_1,1z15,1,A1,0,1z18,1,A1,1
1Z15_1,1z15,1,A1,0,1z16,1,A1,1
2BBW_1,2ar7,1,A1,0,2bbw,1,A1,1
2BBW_1,3ndp,1,A1,2,2bbw,1,A1,1
2C95_1,7de3,1,A1,0,2c95,1,A1,1
2C95_1,7de3,1,A1,0,1z83,3,C1,1
2DRI_1,1ba2,1,A1,0,2gx6,1,A1,1
2H3H_1,3c6q,1,B1,1,2h3h,1,A1,0
2H3H_1,3c6q,1,B1,1,3c6q,3,C1,0
2I4I_1,5e7i,1,B1,0,2i4i,1,A1,3
2NXC_1,2nxc,1,A1,1,2nxe,1,A1,2
2O0B_1,2bjb,1,A1,1,2o0b,1,A1,0
2O0B_1,2bjb,1,A1,1,2o0x,1,A1,0
2R62_1,2r62,2,B1,1,2r65,1,A1,0
2UVJ_1,2uvg,1,A1,0,2uvi,1,A1,1
2UVJ_1,2uvg,1,A1,0,2uvh,1,A1,1
2VR9_1,2vr9,1,A1,0,2vra,2,B1,1
2WZB_1,8yhp,1,A1,0,3zoz,1,A1,1
2WZB_1,8yhp,1,A1,0,2wzb,1,A1,1
2WZB_1,8yhp,1,A1,0,2ybe,1,A1,1
2WZB_1,8yhp,1,A1,0,2x14,1,A1,1
2WZB_1,8yhp,1,A1,0,4axx,1,A1,1
2WZB_1,8yhp,1,A1,0,2x13,1,A1,1
2WZB_1,8yhp,1,A1,0,2wzc,1,A1,1
2WZB_1,8yhp,1,A1,0,2wzd,1,A1,1
2YLN_1,3zsf,1,A1,0,2yln,1,A1,1
2ZGY_1,1mwk,1,A1,1,1mwm,1,A1,0
3A7R_1,1x2g,1,A1,0,4tvw,1,A1,1
3CFX_1,3k6v,1,A1,1,3k6x,1,A1,0
3CFX_1,3k6v,1,A1,1,3cfx,1,A1,0
3F9M_1,1v4t,1,A1,0,7t79,1,A1,1
3F9M_1,1v4t,1,A1,0,7t78,1,A1,1
3F9M_1,1v4t,1,A1,0,3f9m,1,A1,1
3F9M_1,1v4t,1,A1,0,3goi,1,A1,1
