cluster,pdb_a,asm_a,chain_a,conf_label_a,pdb_b,asm_b,chain_b,conf_label_b
1F0L_1,7rrw,1,A1,0,4ae0,1,A1,1
1HW7_1,3m7m,1,X1,1,1hw7,1,A1,0
1K04_1,3s9o,1,A1,1,1k04,1,A1,0
1K04_1,3s9o,1,A1,1,1ow6,1,A1,0
1TXD_1,1txd,1,A1,1,1x86,1,A1,0
1UGN_1,1ugn,1,A1,1,6ewa,1,D1,0
2DFK_1,4mt7,1,A1,2,2dfk,2,C1,1
2DFK_1,4mt7,1,A1,2,2dfk,1,A1,3
2DM9_1,4dt0,1,A1,1,2dm9,1,A1,0
2DYI_1,2dyi,1,A1,1,3a1p,1,A1,0
2FM9_1,2fm9,1,A1,1,2fm8,1,C1,0
2NXC_1,2nxc,1,A1,1,2nxn,1,A1,0
2OY7_1,2oy7,1,A1,0,3cka,1,A1,1
2OY7_1,2hkd,1,A1,2,3cka,1,A1,1
2VFX_1,2vfx,1,A1,0,3gmh,5,J1,1
2ZU6_2,3eij,1,A1,1,2zu6,2,E1,0
3B08_1,3axc,1,A1,1,8cmr,1,B1,2
3B08_1,3axc,1,A1,1,3b08,1,A1,3
3B08_1,3axc,1,A1,1,3znz,1,B1,6
3DRF_1,3fto,1,A1,0,3drf,1,A1,1
3DRF_1,3fto,1,A1,0,3drg,1,A1,1
3F5T_1,3f5t,1,A1,3,6o01,1,A1,0
3G9X_1,3g9x,1,A1,1,6xtc,1,B1,0
3ILC_1,3ilc,1,A1,0,2b48,1,A1,1
3LXR_2,3lyq,2,B1,0,3lxr,1,F1,1
3NB2_1,3nb2,2,B1,0,3sqv,2,B1,1
3NB2_1,3naw,2,B1,2,3sqv,2,B1,1
3P7I_1,3s4u,2,A1,1,3quj,1,A1,0
3P8N_1,1a1q,1,A1,0,4a1v,2,A1,1
3P8N_1,1a1q,1,A1,0,4a1v,1,B1,1
3T9L_1,3t9l,1,A1,1,3pv1,1,A1,0
3T9L_1,3t9l,1,A1,1,3ppa,1,A1,2
3TMP_1,3tmo,1,A1,1,3tmp,4,G1,0
3UMH_1,3umh,1,A1,0,3nyl,1,A1,1
3W4T_1,6fhz,1,A1,1,3vvr,1,A1,0
3W4T_1,6fhz,1,A1,1,3vvs,1,A1,0
3W4T_1,6fhz,1,A1,1,3wbn,1,A1,0
